addr1,cat1,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,modifiedtime,sigungucode,archive_picture,lDongRegnCd,lDongSignguCd,usetime,overview,spot_code,parking_fee,cat2,title,past_image_url,past_image,이동_대중교통,이동_자차,활동_산책,동반_아이,동반_반려동물,청결_시설,뷰_야경_경관,휴식_조용함,유명,정보_구성_체험,볼거리_재미
인천광역시 강화군 길상면 해안동로 58,A02,A02010200,128030,12,2004-02-24,http://tong.visitkorea.or.kr/cms/resource/11/3307811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3307811_image3_1.jpg,Type3,126.5322544,37.6326164,2025-03-13,1,1,28,710,09:00~18:00,"해상으로부터 침입하는 적을 막기 위하여 구축한 요새로, 조선왕조실록이나 승정원일기에서 초지진 설치에 대한 기사에 따르면 조선 효종 6년(1655)에 설치된 것으로 보인다. 1870년대에 미국과 일본이 침략하였을 때 이들과 맞서 싸운 곳으로 1871년에 미국 해병이 초지진에 침략해 왔을 때 전력의 열세로 패하여 점령당하였다. 이때 군기고, 화약창고 등의 군사시설물이 모두 파괴되었다. 일본이 조선을 힘으로 개항시키기 위해서 파견했던 운양호의 침공은 고종 13년(1876)의 강압적인 강화도 수호조약으로 이어져 일본침략의 문호가 개방되었다. 그 뒤 허물어져 돈대의 터와 성의 기초만 남아 있었으나 1973년 초지돈을 복원하였다. 민족시련의 역사적 현장이었던 이곳은 호국정신의 교육장이 되도록 성곽을 보수하고 당시의 대포를 진열하였다.

(출처 : 국가유산청)",128030,0,A0201,강화 초지진,,0,0,1,1,1,0,1,1,0,0,1,1
인천광역시 강화군 강화읍 국화리,A02,A02010700,125566,12,2004-02-24,,,,126.439307,37.74256583,2024-05-02,1,1,28,710,,"강화군 강화읍 국화리 청소년야영장 내 위치한 홍릉은 고려 23대 고종(1192~1259)의 능이다. 강종의 맏아들로 1212년(강종 1) 태자로 책봉되었다. 어머니는 원덕태후 유씨이고, 비는 제21대 희종의 딸인 안혜태후이다. 46년간 재위하였지만, 정치적 실권은 무신들이 장악하고 있었고 북방 민족의 침입도 잦아 국내외적으로 어려움이 많았다. 1231년 몽골이 침략하자 다음 해 강화로 천도하여 항쟁했으며 16년간에 걸쳐 강화에서 <팔만대장경>을 판각하였다. 1259년(고종 46)에 태자[후일의 원종]가 몽골에 가서 강화의 뜻을 비쳤고 항쟁하던 성곽도 헐어버렸다. 같은 해 6월 고종이 사망하자 강화에 묻었고 그것이 홍릉이 되었다. 본래 홍릉은 높게 쌓은 3단의 축대로 되어있으며, 맨 아래에 정자각, 2단에 사람 형상의 돌 조각상, 가장 높은 곳에는 왕릉이 배치돼 있다. 원형의 봉분은 직경이 4m로 작은 편이다. 지금은 사람 모양의 돌조각 2구만 남았다. 1988년 재실이 신축, 복원되었다.",125566,2,A0201,강화 홍릉,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 강화읍 국화리 산3번지,A02,A02010200,125564,12,2006-03-02,http://tong.visitkorea.or.kr/cms/resource/87/3383787_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/3383787_image3_1.JPG,Type3,126.483897,37.75604005,2025-03-14,1,1,28,710,상시 개방,"강화읍을 에워싸고 있는 고려시대의 산성이다. 몽골의 침입으로 백성과 국토가 수난을 당하자, 당시 실권자인 최우는 1232년 강화도로 수도를 옮겼다. 왕궁과 성·관아 시설은 1234년 본격적인 공사가 시작되었다. 이때 개경의 궁궐과 비슷하게 지어 산의 이름도 송악이라 지었다. 성은 흙으로 쌓았고, 내성·중성·외성으로 이루어져 있고, 내성은 주위 약 1,200m로 지금의 강화성이다. 중성은 내성을 지키기 위해 쌓았으며, 외성은 1233년 강화 동쪽해안을 따라 쌓았다. 이 외성은 몽골군이 바다를 건너 공격하지 못하게 한 가장 중요한 방어시설이자, 정부가 39년간 육지로부터 물자를 지원받았던 곳이기도 하다. 고려 원종 11년(1270) 개경으로 수도를 다시 옮기면서 몽골과 강화조약의 조건으로 성을 모두 헐게 되었다. 조선 전기에 내성이었던 강화성을 축소하여 다시 지었다. 1637년 병자호란 때 청군에 의해 다시 파괴당하였고, 숙종 3년(1677)에 성을 보수하면서 모두 돌로 쌓고 넓혀 지었다. 남문인 안파루·북문인 진송루·서문인 첨화루와 동문인 망한루가 있으며, 비밀통로인 암문 4개 그리고 수문이 2개 남아있다. 높은 곳에서 망을 보기 위한 장대와 성위에서 몸을 감추기 위한 여장 등의 방어시설도 갖추고 있었으나 여장은 모두 무너졌다. 현재 성의 동쪽 부분은 없어졌으나, 남북 쪽 산자락은 복원 정비되어 있다. 조선 후기 병인양요·신미양요와 일본 침략에 의한 강화조약을 체결한 수많은 외세침략의 역사적인 현장이다.

(출처 : 국가유산청)",125564,0,A0201,강화산성,,0,0,1,1,0,0,0,0,1,0,1,0
인천광역시 강화군 내가면 강화서로416번길 53-37,A02,A02010700,2765210,12,2021-11-01,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/24/2780924_image3_1.png,Type3,126.4009025,37.73238024,2025-03-26,1,0,28,710,상시 개방,"오상리 고인돌군에서는 모두 12기의 고인돌이 분포하고 있는데, 2000년 실시된 발굴조사에 의하면 모두 북방식 고인돌이라 한다. 이 지역의 고인돌은 덮개돌은 부분적으로 손질한 흔적이 있고, 평면 형태는 모두 판돌형(板石形)이다. 덮개돌의 크기는 기념물로 지정된 내가 고인돌이 길이 335㎝로 가장 크고 나머지는 길이가 130∼260㎝로 다양한 편이다. 돌방(石室)은 돌널형태의 모습이고, 고임돌이나 막음돌을 세울 때 튼튼하게 하기 위하여 주변에 쐐기돌을 사용하였다. 돌방의 바닥은 거의 대부분 맨바닥을 그대로 사용하였고 1·4·9호 고인돌은 판돌이나 깬돌‘할석’이 깔려 있었다.",2765210,0,A0201,강화오상리고인돌군,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 강화읍 북문길 42,A02,A02010100,1614793,12,2012-04-26,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1575646_image3_1.jpg,Type3,126.4854359,37.75088512,2024-06-17,1,1,28,710,,"강화 유수부 동헌은 오늘날의 군청과 같은 관아 건물이다. 조선 후기 강화에는 개성, 수원, 광주와 함께 특별행정구역인 유수부를 설치하고 종2품 당상관인 유수를 파견하였는데, 유수가 집무를 보던 중심 건물이 강화 유수부 동헌이다. 조선 인조 16년(1638)에 유수 김신국이 개수하였고, 영조 45년(1769)에 유수 황경원이 현문관이라 이름하였다. 여러 차례에 걸친 개조로 원형은 남아있지 않다. 앞면 8칸, 옆면 3칸의 규모로 지붕 옆면이 여덟 팔(八)자 모양인 팔작지붕 집이다. 당시 명필이며 학자였던 백하 윤순(1680∼1741)이 쓴 명위헌과 이관당의 현판이 걸려있다.",1614793,,A0201,강화유수부동헌,,0,1,1,1,1,0,1,0,1,1,1,1
인천광역시 강화군 강화읍 북문길 42,A02,A02010100,1615571,12,2012-04-26,,,,126.4846998,37.75153503,2024-06-18,1,0,28,710,,"고려 고종 때 궁궐이 있었던 터에 있는 이 건물은 조선 중기 강화 유수부 6방(六房)중 하나인 이방청(吏房廳) 건물이다. 지방 행정 관아로 수령을 보좌하던 행정 실무자가 집무를 보던 곳이다. 이 건물은 한식 목조 단층 기와집으로 ㄷ자형인데, 온돌방이 8칸이고 우물마루로 된 청마루가 12칸이며 부엌이 1칸으로 모두 21칸이다. 팔작지붕에 민도리 홑처마 양식으로 건평은 220㎡쯤 된다. 현재의 건물이 건립된 것은 효종 때로 유수 정세규(鄭世?)에 의해서 건축되었으며, 정조 7년(1783)에 유수 김노진(金魯鎭)에 의해 내부가 수리되고 이후에도 여러 차례 보수되어 오늘날에 이르고 있다.",1615571,2,A0201,강화유수부이방청,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 강화읍 해안동로1366번길 18,A02,A02010200,125567,12,2006-03-02,http://tong.visitkorea.or.kr/cms/resource/05/3383805_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/3383805_image3_1.JPG,Type3,126.5160197,37.7335599,2025-03-14,1,0,28,710,09:00~18:00,"강화 전적지는 갑곶돈대, 고려궁지, 광성보, 덕진진, 초지진으로 5개소이며 강화도는 지리적 특성상 고려부터 조선시대까지 외세의 침입에 대항하는 첫 번째 관문으로서 수많은 전투가 일어났던 전적지이다. 몽고와의  항쟁을 비롯하여 조선 인조 때 병자호란 및 정묘호란을 피했던 곳으로, 개화기에는 병인양요, 신미양요를 겪었으며, 일본과 강화도조약을 맺은 곳이기도 하다. 현재는 서울 방위를 위한 중요한 국방 요지이며, 1977년 복원 및 보수작업을 마무리하여 역사교육의 장으로 활용하고 있다.",125567,0,A0201,강화전적지,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 강화읍 향교길 58,A02,A02010700,125563,12,2006-03-02,,,,126.4786892,37.75372634,2025-06-24,1,0,28,710,"09:00~15:00<br>
※ 방문 전 연락요망","인천광역시 유형문화재인 강화향교는 지방의 교육과 지방민의 교화를 위한 교육기관이다. 고려 1127년(인종 5) 현재 내가면 고천리에 창건되었다. 1232년(고종 19) 강화읍 갑곶리로 옮겼다가 1259년(고종 46) 서도면 볼음도로 옮겼다. 1624년(인조 2) 당시 강화유수였던 심열이 송악산 기슭으로 또다시 향교를 옮겼다. 1629년(인조 7) 명륜당을 세워 학교로 승격시켜 학궁이라 칭했다. 1673년(현종 14) 유수 민시중이 남산 근처로 옮겼다가 1731년(인조 9) 유수 유척기가 현재의 자리로 이전하였다. 강화향교의 건축물은 대성전, 동무와 서무, 내삼문, 명륜당, 동재와 서재, 외삼문 등으로 구성돼 있다. 대성전은 5성과 우리나라 18현의 위패가 봉안돼 있어 봄, 가을에 제사를 거행한다. 명륜당은 향교 학생들이 모여 공부하던 강당이다. 국가로부터 토지·노비·책 등을 지원받아 제사와 교육의 기능을 담당하였으나 현재는 교육 기능은 사라지고 배향 기능만 남아있다.",125563,2,A0201,강화향교,,0,0,1,1,0,0,0,0,1,0,1,0
인천광역시 중구 제물량로232번안길 27,A02,A02010700,947611,12,2010-02-10,,,,126.6210062,37.47293655,2025-07-11,10,0,28,110,,"1883년 인천 개항장 세월의 흔적이 쌓인 개항기 역사와 문화가 만나는 장소이다. 이곳은 옛 일본영사관인 중구청과 일본 제1은행 인천지점, 일본 제18은행 인천지점, 일본 제58은행 인천지점 등 근대 건축을 그대로 볼 수 있는 장소이다. 구 일본우선주식회사나 인천의 아트플랫폼, 제물포구락부 등 역사의 흔적들을 직접 눈으로 볼 수 있고 귀로 들을 수 있는 곳이다. 이곳에서는 인천문화 관광해설사가 있어 예약하면 해설을 들으며 도보 관광을 즐길 수 있다.",947611,,A0201,개항장 거리,,0,1,1,1,1,1,1,1,0,1,1,1
인천광역시 강화군 내가면 황청리,A02,A02010200,1620625,12,2012-05-02,http://tong.visitkorea.or.kr/cms/resource/63/3309563_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3309563_image3_1.jpg,Type3,126.3538237,37.72352767,2025-03-13,1,1,28,710,상시 개방,"돈대는 적의 움직임을 살피거나 공격에 대비하기 위해서 영토 내 접경지역이나 해안지역의 감시가 쉬운 곳에 마련한 초소로, 대개 높은 평지에 쌓아두는데 밖은 성곽으로 높게 하고, 안은 낮게 하여 포를 설치해 두는 시설물이다. 망월평야 남서방향의 언덕 위에 자리하고 있는 이 돈대는 바깥벽 측면에 기록이 남아 있으며, 망월돈대와 함께 관아에서 관리하던 돈대이다. 남아 있는 기록에 의해 조선 숙종 5년(1679)에 설치된 것임을 알 수 있는데, 이처럼 돈대의 재작년대에 대한 기록이 남아 있는 것은 보기 드문 예이다. 

(출처 : 국가유산청)",1620625,0,A0201,계룡돈대,,0,0,1,1,0,0,0,0,1,0,1,0
인천광역시 강화군 강화읍 북문길 42,A02,A02010700,127184,12,2004-02-24,http://tong.visitkorea.or.kr/cms/resource/49/3350949_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/3350949_image3_1.jpg,Type3,126.4854359,37.75088512,2025-03-13,1,1,28,710,09:00~18:00 (입장마감 17:00),"고려가 몽골군의 침략에 대항하기 위해 고종 19년(1232)에 강화도로 수도를 옮기고 1234년에 세운 궁궐과 관아건물이다. 정궁 이외에도 행궁·이궁·가궐을 비롯하여 많은 궁궐이 있었다. 정문은 승평문이었고 양쪽에 삼층루의 문이 두 개가 있었으며 동쪽에 광화문이 있었다. 39년 동안 사용되었고 1270년 강화조약이 맺어져 다시 수도를 옮기면서 허물어졌다. 조선시대에도 전쟁이 일어나면 강화도를 피난지로 정했다. 조선 인조 9년에 옛 고려 궁터에 행궁을 지었으나 병자호란 때 청군에게 함락되었다. 그 후 다시 강화유수부의 건물을 지었으나 병인양요 때 프랑스군에 의해 거의 불타 없어져 지금은 동헌과 이방청만이 남아있다. 이곳은 끊임없는 외세의 침략에 저항한 우리 민족의 자주정신과 국난 극복의 역사적 교훈을 안겨주는 곳이다.

(출처 : 국가유산청)",127184,0,A0201,고려궁지,,0,0,1,1,1,0,1,1,0,0,1,1
인천광역시 강화군 불은면 해안동로466번길 27,A02,A02010200,127213,12,2006-03-02,http://tong.visitkorea.or.kr/cms/resource/15/3306715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3306715_image3_1.jpg,Type3,126.5302453,37.66417935,2025-03-13,1,1,28,710,09:00~18:00 (입장마감 17:00 ),"광성보는 덕진진, 초지진, 용해진, 문수산성 등과 더불어 강화해협을 지키는 중요한 요새이다. 고려가 몽고 침략에 대항하기 위하여 강화로 도읍을 옮기면서 1233년부터 1270년까지 강화외성을 쌓았는데, 이 성은 흙과 돌을 섞어서 쌓은 성으로 바닷길을 따라 길게 만들어졌다. 광해군 때 다시 고쳐 쌓은 후 효종 9년(1658)에 광성보가 처음으로 설치되었다. 숙종 때 일부를 돌로 고쳐서 쌓았으며, 용두돈대, 오두돈대, 화도돈대, 광성돈대 등 소속 돈대가 만들어졌다. 영조 21년(1745)에 성을 고쳐 쌓으면서 성문을 만들었는데 ‘안해루’라 하였다. 이곳은 1871년의 신미양요 때 가장 치열한 격전지였다. 이 전투에서 조선군은 열세한 무기로 용감히 싸우다가 몇 명을 제외하고는 전원이 순국하였으며 문의 누각과 성 위에 낮게 쌓은 담이 파괴되었다. 1976년 다시 복원하였으며, 광성보 경내에는 신미양요 때 순국한 어재연 장군의 쌍충비와 신미순의총 및 전적지를 수리하고 세운 강화전적지, 수리한 것을 기록한 비석 등이 건립되었다.

(출처 : 국가유산청)",127213,0,A0201,광성보,,0,0,1,1,1,0,1,1,1,0,1,1
